Name,P_M17,RRT_type_monson,[Fe/H],r_[Fe/H],Name_lower,<Umag>,e_<Umag>,<Bmag>,e_<Bmag>,<Vmag>,e_<Vmag>,<Rmag>,e_<Rmag>,<Imag>,e_<Imag>,<Jmag>,e_<Jmag>,<Hmag>,e_<Hmag>,<Ksmag>,e_<Ksmag>,<[3.6]>,e_<[3.6]>,<[4.5]>,e_<[4.5]>,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,pf,pf_error,p1_o,p1_o_error,p2_o,p2_o_error,p3_o,p3_o_error,epoch_g,epoch_g_error,epoch_bp,epoch_bp_error,epoch_rp,epoch_rp_error,int_average_g,int_average_g_error,int_average_bp,int_average_bp_error,int_average_rp,int_average_rp_error,peak_to_peak_g,peak_to_peak_g_error,peak_to_peak_bp,peak_to_peak_bp_error,peak_to_peak_rp,peak_to_peak_rp_error,metallicity_gaia,metallicity_error_gaia,r21_g,r21_g_error,r31_g,r31_g_error,phi21_g,phi21_g_error,phi31_g,phi31_g_error,num_clean_epochs_g,num_clean_epochs_bp,num_clean_epochs_rp,g_absorption,g_absorption_error,best_classification_gaia,Separation
AB UMa,0.59958113,RRab,-0.49,,abuma,,,11.359,0.009,10.912,0.009,,,10.342,0.009,,,,,,,9.596,0.009,9.586,0.008,1635721458409799680,Gaia DR2 1546016672688675200,1546016672688675200,347009797,2015.5,182.81068172451415,0.018032950253833502,47.828760272354856,0.020466394694861736,0.9817610642587079,0.030051141335556683,32.669678,-16.599464360350684,0.027670182990849126,-16.60506448076815,0.03875288454275464,0.32228872,-0.3437578,0.08513955,-0.04000115,-0.16809405,-0.061824538,-0.3079472,-0.08616639,-0.09252151,0.29521075,586,586,547,39,18.50318,1406.6923,0.0,0.0,31,true,378.45,1.6440344424688118,0.005083190159587296,0.037652347,68,19,0.0288515,0,85,true,630,916600.1590872713,4148.851684799363,220.92863,10.782916,62,520675.769696526,8053.527658661255,64.651886,11.05997,66,556205.0936890318,5367.953428330097,103.61586,10.398832,1.1748644,0,0.6611376,0.27705383,0.38408375,-42.61982187411354,3.7837811497149727,15,5750.0,4.5,0.0,VARIABLE,141.04210698900874,67.86141421465553,158.46508866656043,43.87435400682278,100001,6269.0,6162.45,6358.1665,1.646,1.3884,1.829,0.8267,0.7014,0.941,200111,5.1480713,5.0046916,5.3276324,36.87881,35.06275,38.69487,0.5995735454969419,2.863890166710646E-7,,,,,,,1712.6999791451492,4.05015231490914E-7,1712.680500079717,4.05015231490914E-7,1712.6931748718255,4.05015231490914E-7,10.787574892292092,8.372118885610475E-5,11.052949861665663,7.36905710768544E-5,10.39516640492385,1.0877707420911401E-4,0.33258786256070216,4.7690450606199006E-4,0.4228014683882133,5.027918438498111E-4,0.251735559278222,9.23841225547316E-4,,,0.32237950042225966,0.001149326752383969,,,4.483475781955001,0.0052027789577314895,,,70,62,56,0.02367837088380658,0.051154493562150176,RRab,0.3626159914581228
AE Boo,0.31489,RRc,-1.39,,aeboo,,,10.887,0.009,10.64,0.009,,,10.254,0.009,,,,,,,9.75,0.011,9.749,0.011,1635721458409799680,Gaia DR2 1234729400256865664,1234729400256865664,356194283,2015.5,221.89683097784174,0.035067754973253984,16.845267900537564,0.03221529754304923,1.1446100055150976,0.041916711249617614,27.30677,-23.862814610590554,0.0636193607693967,-37.802943180311445,0.07412060418499791,0.060877077,-0.5173183,-0.009939087,0.019224223,-0.22116256,0.035336874,-0.105341345,-0.034545667,-6.51001E-4,-0.16067322,134,134,132,2,9.676499,350.74954,0.0,0.13657533763380425,31,true,262.1355,1.67496760907645,0.009267492644199621,-0.047804095,15,10,0.048237834,0,17,false,143,1041115.4462856422,10501.134712808718,99.143135,10.644618,16,645124.4889085565,24348.4912906621,26.49546,10.827279,15,588380.1279143465,14457.684080884548,40.696705,10.337775,1.1847914,0,0.48950386,0.18266106,0.3068428,,,0,,,,VARIABLE,18.026631752115726,61.26705270155096,213.47721887750507,31.339593115657586,100001,7207.0,7105.0,7391.6665,1.369,1.1332,1.512,0.672,0.5515,0.756,200111,3.5712874,3.395073,3.674563,31.00005,29.333424,32.666676,0.4272096559574595,3.3851963900847156E-6,0.3148882069547664,2.1855683999040586E-7,,,,,1711.01018027733,2.835433165289376E-7,1711.011422682236,2.835433165289376E-7,1711.0133977092519,2.835433165289376E-7,10.564947371177936,3.376252160132143E-4,10.736607992013013,4.597609220466594E-4,10.300950311590423,4.977031710309605E-4,0.4069531795924721,4.7747415948503355E-4,0.4680273444639571,6.502001314075451E-4,0.296745438372092,7.038585745080805E-4,,,0.1638320177830039,0.0033839397534030547,,,4.245803446403663,0.0074497601689235875,,,16,16,15,,,RRd,0.6940060498199747
AM Tuc,0.4058016,RRc,-1.49,,amtuc,,,11.918,0.006,11.626,0.006,,,11.188,0.006,,,,,,,10.6,0.009,10.564,0.009,1635721458409799680,Gaia DR2 4692528057537147136,4692528057537147136,1657301711,2015.5,19.62798128842092,0.035070456199947954,-67.91816504623725,0.022392113242995747,0.5439393259483818,0.027507326484733193,19.774343,23.778387718498763,0.06833378839612879,-27.691357430053205,0.04495212753142797,0.09649555,0.25324914,-0.48896456,-0.2404633,-0.0459857,-0.2134518,-0.29462913,-0.17364615,-0.15620245,0.054487478,205,205,197,8,14.554152,640.23566,0.07751703397972926,2.7020334710932006,31,true,106.424164,1.6976734518802052,0.007437903921170126,-0.09659871,24,17,0.052471027,0,27,false,232,424853.5814620754,3918.136842223972,108.432556,11.617767,25,270154.04005575355,9116.342097659053,29.634039,11.77236,25,248427.2875105557,4980.652733141701,49.87846,11.273922,1.2206119,0,0.49843788,0.15459251,0.34384537,,,0,,,,VARIABLE,299.05907947108494,-49.00599566109154,324.48149511949356,-64.21253139610695,100001,7170.3335,7027.75,7827.25,1.2945,0.9639,1.5227,0.6495,0.4819,0.7681,200111,4.8473797,4.0678725,5.0460687,55.95852,51.255142,60.661896,,,0.40579085326110803,1.4937037308577577E-7,,,,,1700.2052196206996,2.1124160743463324E-7,1700.2002697862047,2.1124160743463324E-7,1700.2064423419713,2.1124160743463324E-7,11.538127798246627,1.746562916870216E-4,11.708643334182563,2.4354459075499966E-4,11.237765566393472,2.4904899398106323E-4,0.41643869030140124,4.8197210939471144E-4,0.48730159245702254,7.455512907993798E-4,0.29341559216397783,7.580411796030635E-4,,,,,,,,,,,25,25,25,,,RRc,0.580903012032723
AN Ser,0.52207144,RRab,-0.07,,anser,,,11.321,0.008,10.935,0.008,,,10.446,0.008,,,,,,,9.799,0.008,9.79,0.009,1635721458409799680,Gaia DR2 1191510003353849472,1191510003353849472,972805715,2015.5,238.37938952521603,0.028877394176278316,12.961103453571042,0.021058611582479316,0.9509545234623422,0.04460044696503721,21.321636,0.05503423966940657,0.049091409806949995,-9.070236914403377,0.0374263987428775,0.1923128,-0.49190184,0.15717831,0.10196328,-0.12142199,0.08377325,0.11149369,-0.19947973,-0.11428437,0.3899814,297,297,284,13,16.133642,858.56525,0.0637878941373206,2.204916824620357,31,true,126.870384,1.671395117221912,0.006948626629749017,-0.0014859511,35,13,0.033909503,0,45,false,381,720602.8688862567,8732.088064807733,82.523544,11.044126,38,441997.9674374536,21286.838224030034,20.763908,11.237838,38,470098.54171869333,14015.61563345087,33.541054,10.581448,1.2657409,0,0.6563902,0.19371223,0.46267796,-22.623005055763375,6.31466455808246,17,6250.0,4.5,0.0,VARIABLE,23.802690691392375,45.23210285372415,232.75971552650628,32.403222919642225,100001,6568.0,6246.0,7125.2,1.7245,1.421,1.8961,0.856,0.72,0.9515,200111,4.287473,3.6431208,4.7409325,30.819822,28.738028,32.90162,0.5220603483675927,1.3677104378016197E-7,,,,,,,1713.6558214528138,1.934234650538294E-7,1713.654026935259,1.934234650538294E-7,1713.6734657166046,1.934234650538294E-7,10.84660532366209,2.0131916912575213E-4,11.05079994508366,3.9930921704255584E-4,10.494377346445493,1.9722473432238165E-4,0.8968389409484168,9.781269179644301E-4,1.1901305640497135,0.0017201552286408538,0.646117829701776,7.800340220933854E-4,-0.24514049719324404,0.21694543437393257,0.49394253749028605,6.866111440594199E-4,0.2616211331018855,0.0011727211447440395,4.277615035293327,0.0017265308740063833,2.631566523195978,0.0034365257062333406,37,33,35,0.029284945026508215,0.05164689614589703,RRab,0.13157768778260354
AV Peg,0.3903747,RRab,-0.08,,avpeg,11.091,0.02,10.862,0.008,10.471,0.008,10.243,0.02,9.971,0.008,9.575,0.02,,,9.324,0.009,9.328,0.009,9.322,0.008,1635721458409799680,Gaia DR2 1793460115244988800,1793460115244988800,240009346,2015.5,328.0117102357348,0.025721843492390047,22.574790302036245,0.02952314649175136,1.46354746680814,0.03202894410606014,45.694527,14.154876631016094,0.0521491294952751,-8.481133375645024,0.054866544022617376,0.14259411,0.30787933,-0.10284798,-0.241274,-0.05133061,-0.16359156,-0.13448027,-0.07460387,-0.31200635,-0.074900545,159,159,153,6,10.135219,398.52792,0.0,0.44295149575359105,31,true,338.74722,1.6502823845249686,0.006264540531549412,0.13344757,18,9,0.039042983,0,19,false,168,1136775.805029946,20571.023729245517,55.26102,10.549179,17,672403.7381486355,44785.164676553715,15.013984,10.782313,18,722941.9719806083,33404.02939422752,21.642359,10.1141615,1.2274591,0,0.66815186,0.23313427,0.4350176,,,0,,,,VARIABLE,77.44301323852211,-24.053692857696117,339.2901112646212,33.14682749570159,100001,6515.7427,6186.0,6779.6665,,,,,,,200111,3.555577,3.2841372,3.9447377,20.529133,19.732756,21.32551,0.39036841929002974,1.325852108188563E-7,,,,,,,1765.446957936136,1.8750380331012262E-7,1765.4394777044604,1.8750380331012262E-7,1765.4411087641643,1.8750380331012262E-7,10.472102847748697,2.4219906566598913E-4,10.692427696934706,2.655412875331357E-4,10.069281828843753,2.2632700828469323E-4,0.7699441529351585,0.001371301969084492,0.9128932515144506,0.0011413997762401169,0.6124775161984921,0.0010598188166720834,,,0.7183942992294977,0.002620250997400276,,,4.299468261745908,0.006578048473690938,,,17,16,18,0.27732262138640956,0.051927076669598414,RRab,0.27374198932370736
BB Pup,0.48054884,RRab,-0.6,c,bbpup,12.764,0.02,12.586,0.007,12.159,0.007,11.887,0.02,11.602,0.007,11.201,0.02,10.993,0.013,10.883,0.009,10.875,0.011,10.873,0.011,1635721458409799680,Gaia DR2 5707380936404638336,5707380936404638336,1355097120,2015.5,126.09429344685816,0.030552096451060464,-19.542061005468828,0.031761289246200836,0.5852209955042166,0.037948907223732876,15.421288,-11.790638582048079,0.0594191670672662,-0.8383824624396728,0.055765866012771906,-0.051350843,-0.18500255,-0.5194217,0.061746735,0.040406693,0.077911556,-0.60702354,0.25256988,0.036503203,0.016617268,188,188,186,2,7.483596,362.92358,0.0,0.0,31,false,335.48364,1.6454728658911755,0.00794366956011035,0.02645388,21,13,0.04142569,0,23,false,205,256396.82052433107,4293.443134570884,59.718227,12.166084,22,153182.71393105513,10454.016320555864,14.653001,12.388364,23,166289.82285786216,6540.740780772791,25.423698,11.709756,1.2460082,0,0.67860794,0.22227955,0.4563284,,,0,,,,VARIABLE,241.2806277581148,10.273657187050171,134.46694878781682,-37.5753691344286,100001,6736.6665,6246.0,7149.5,,,,,,,200111,3.9511409,3.5080135,4.596303,28.968094,26.136215,31.799973,0.48055042819514937,1.0197457207249688E-7,,,,,,,1761.655762787357,1.4421382284211776E-7,1761.6575674044936,1.4421382284211776E-7,1761.6600547917612,1.4421382284211776E-7,12.050831479387515,1.1632107684233953E-4,12.293863029645287,2.868612513331352E-4,11.662356854837734,2.448125430052274E-4,0.8361554307736352,7.136952077654553E-4,1.0026978957593382,0.001889786419711085,0.6146104768133309,0.0019451253560447924,-0.3060541482170862,0.21694739999632448,0.5243723202567743,0.0011214993407070875,0.29689850473866697,8.058214463717501E-4,4.199524355651043,0.001877656127950034,2.3624222751894055,0.0032128826347739016,23,22,23,0.16808840862254534,0.051712870739381384,RRab,0.2597414242417991
BX Leo,0.362755,RRc,-1.28,,bxleo,,,11.831,0.006,11.584,0.006,,,11.21,0.006,,,,,,,10.678,0.009,10.67,0.009,1635721458409799680,Gaia DR2 3972712536822542336,3972712536822542336,1478730894,2015.5,174.50847394173036,0.03437550112668039,16.543328471386328,0.03172127805822832,0.5942697178968246,0.04064028504442668,14.622676,-26.864312333330865,0.0740002896842065,-13.853722403560171,0.060467597100440876,-0.20588668,-0.19210398,0.25194207,0.16032647,-0.12548442,0.12148101,0.06848577,0.14627692,-0.29229978,-0.25087428,161,161,161,0,9.321402,384.1505,0.0,0.0,31,true,370.53412,1.696640460565557,0.006147019630297707,-0.096434474,18,10,0.0498784,0,26,false,222,459200.2676880984,4304.820009625109,106.67119,11.5333605,23,291352.71082062036,10045.125677931655,29.004387,11.69034,23,252510.95326935188,5203.479512640315,48.52733,11.25622,1.1843714,0,0.43412018,0.15697956,0.27714062,,,0,,,,VARIABLE,241.07844296074953,69.98406135908323,168.31015273177064,12.988377012642376,100001,7883.0,7553.0,8247.0,,,,,,,200111,3.8924966,3.5564713,4.240063,52.712948,47.44441,57.981487,0.49942742099740717,6.331839574969255E-6,0.3627377831979252,2.8977822034874845E-7,,,,,1666.4687882752771,3.111453112397438E-7,1666.471271664005,3.111453112397438E-7,1666.4749835319963,3.111453112397438E-7,11.527519483343518,3.363969522372367E-4,11.66948915230347,2.2066038956250545E-4,11.252603005105296,3.6839244623474376E-4,0.37574376918487573,4.7573713219487446E-4,0.4345398824837474,3.1206091559782576E-4,0.28373664795347864,5.209855937409759E-4,,,0.08886846529610848,0.0017493435857030351,,,5.596193798291715,0.016305334782964465,,,21,23,23,,,RRd,0.48816959323041864
CU Com,0.4057605,RRd,-2.38,d,cucom,,,13.654,0.009,13.346,0.009,,,12.873,0.009,,,,,,,12.265,0.009,12.25,0.009,1635721458409799680,Gaia DR2 3952883463090843520,3952883463090843520,1486904966,2015.5,186.1941961904945,0.022882245038466455,22.40778126255947,0.01833649798838834,0.227573891360042,0.0321527407093516,7.0779004,-2.013111333546196,0.04887349784493567,-14.874686750753472,0.037185276929348185,-0.22983856,-0.26129845,0.16995686,0.15009537,-0.15397377,0.07119714,0.23132685,0.0021196054,-0.46928158,-0.32997245,220,0,219,1,4.9816713,333.59454,0.10583589363107299,2.973099471791773,31,false,50.829227,1.6857218014208748,0.00540013843145552,0.05931053,25,12,0.054246176,0,31,false,274,96183.48652063057,705.3804232233098,136.3569,13.230615,30,60675.78649895286,1716.659159691628,35.345272,13.393849,29,55249.82989705325,999.1722814341249,55.2956,12.906093,1.2052549,0,0.48775673,0.16323471,0.32452202,,,0,,,,VARIABLE,249.4470134784718,82.32731018025031,176.25809690110813,22.918382741476194,100001,7592.0,7168.0,8005.6665,,,,,,,,,,,,,,0.5442055622021066,3.543164315446101E-7,0.4057603856225093,1.491765778482869E-7,,,,,1674.6551899787562,1.812666984811235E-7,1674.646189380376,1.812666984811235E-7,1674.658065165132,1.812666984811235E-7,13.237366643437795,9.012228552040771E-5,13.38979894659527,4.692595445609623E-4,12.91048177063768,4.336138722549277E-4,0.4370094873076411,1.2745215845502098E-4,0.5351457034765605,6.636332121911347E-4,0.3279621008309874,6.132226189760335E-4,,,,,,,,,,,30,27,25,,,RRd,0.18137461171518873
DX Del,0.47261673,RRab,-0.39,,dxdel,,,10.359,0.007,9.927,0.007,,,9.367,0.007,8.997,0.02,8.818,0.013,8.709,0.009,8.65,0.009,8.637,0.008,1635721458409799680,Gaia DR2 1760981190300823808,1760981190300823808,126822611,2015.5,311.86820684650934,0.026135931751962462,12.464109033304622,0.023670667101904932,1.6849267079093464,0.03229452448325535,52.17376,13.230405161333195,0.05335639932378603,7.105699071518881,0.03643851301792436,0.14446339,0.184934,-0.27836257,-0.13127778,0.13860527,-0.10724516,-0.8422369,-0.2776766,0.0011525117,0.021974558,427,427,414,13,14.389212,972.8184,0.0,0.0,31,true,284.29855,1.6226925418307847,0.004859061867994968,0.0735376,48,13,0.037766326,0,48,true,427,2034795.1491162938,15682.972689973662,129.7455,9.917064,45,1124426.2821119376,31818.065697178932,35.33924,10.224061,45,1280106.2410151812,23310.586152036652,54.915234,9.493805,1.1817074,0,0.7302561,0.3069973,0.42325878,-40.58245008308064,7.054367332796529,14,6250.0,4.5,0.0,VARIABLE,58.46979576991342,-18.844886702963457,318.26845794216445,29.16026782159226,100001,6180.6665,6068.6504,6380.0,,,,,,,200111,4.602092,4.319013,4.773552,27.844954,26.983292,28.706615,0.4726110284945954,1.9004026104738384E-7,,,,,,,1761.19041448272,2.6875751457013366E-7,1761.1826677809895,2.6875751457013366E-7,1761.1879595431194,2.6875751457013366E-7,9.808186489789197,1.2308715608739664E-4,10.031274446766282,7.729308868283847E-4,9.404042788630708,5.424205052826016E-4,0.64751776727182,5.33118091447835E-4,0.9464732045085427,0.0031322453156113817,0.5973813553418736,0.002605150344302593,-0.16532847791834726,0.21693517684772037,0.4929949624328547,7.092326670805698E-4,0.28604743632312163,8.401551918725735E-4,4.288737734652294,0.001907792538192094,2.4788906162787274,0.0030786052579857056,48,39,39,0.19562388552758825,0.051647646400894476,RRab,0.2255085717658104
